"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
";",-0.027058869600296,-0.304676808416843,0.781409442424774,-0.253742344677448,0.184886272996664,-0.185052968561649,-0.141926750540733,0.351259395480156,-0.167865350842476,0.0806450843811035,-0.0379616469144821,0.0748220980167389,0.0714257434010506,0.308177224360406,-0.0929882731288671,0.768127053976059,0.132485132664442,0.000429481267929077,-0.38221313804388,-0.250515624880791,-0.705742910504341,0.148215753957629,0.257131077349186,-0.113777309656143,0.100765496492386,0.0707892877981067,-0.189540430903435,-0.0721767842769623,-0.251865804195404,0.947510421276093,-0.494981303811073,0.259018238633871,-0.490330554544926,0.195286467671394,-0.353450365364552,-0.122557050548494,0.504596188664436,-0.316172678023577,0.0904831513762474,-0.0989876724779606,-1.1149420440197,0.123407408595085,0.145712800323963,0.391920451074839,0.0312898121774197,-0.222640253603458,-0.171489208936691,-0.534672871232033,0.247195586562157,0.205903336405754
"page",0.150385275483131,0.695144221186638,0.0249771028757095,-0.203304380178452,0.14918726682663,-0.565774232149124,0.140829294919968,-0.0542678683996201,-0.748132966458797,0.936172932386398,-0.1280187551165,0.257558345794678,-0.770996307488531,-0.550572860054672,-0.115476049482822,0.221889041364193,0.499363526701927,-0.182592540979385,0.296910092234612,0.410331934690475,-0.0513715371489525,-0.322560038417578,-0.277335548773408,-0.100698560476303,-0.44512514770031,-0.013807974755764,0.339372135698795,0.300377979874611,0.832997143268585,0.627291649580002,0.0989383161067963,-0.131395608186722,0.1739805303514,-0.443422645330429,-0.843660950660706,-0.545877128839493,-0.825425505638123,0.608181804418564,-0.0099366307258606,0.401266094297171,-1.12225493788719,0.205353520810604,-0.716773331165314,-0.0470208674669266,-0.616383451037109,-0.229182451963425,0.49396239221096,0.674775034189224,-0.404924854636192,0.265584025532007
"multiple",-1.03799760341644,-0.54590092971921,-0.621759727597237,0.432455718517303,-0.433770060539246,0.464122533798218,-0.180822461843491,1.11747455596924,0.238998398184776,0.095457635819912,0.228488173335791,-0.130676303058863,0.295004740357399,0.92373451590538,-0.422464922070503,-0.336535513401031,1.3860736489296,0.411409355234355,-0.134422812610865,0.238179659470916,-0.298697408288717,-0.463367469608784,-0.312481060624123,-0.35348164010793,0.101911991834641,-0.340526252985001,0.69139176607132,-0.875416114926338,-0.101963501423597,-0.491733759641647,-0.352366968989372,0.999731123447418,0.29722810536623,-0.0743047948926687,-0.0803695023059845,-0.587940201163292,0.16376543790102,0.0104573369026184,-0.141314178705215,0.491160519421101,0.632026270031929,-0.0181000828742981,-0.136036459356546,0.592862904071808,-0.719798654317856,0.477270945906639,0.905253142118454,-1.0037650167942,-0.614050418138504,0.316587888635695
"latest",-0.933991372585297,0.184994161128998,0.173634829930961,0.761910825967789,-1.0909817814827,-0.0396319478750229,0.464585497975349,0.305999614298344,-0.298813913017511,-0.23727969545871,-0.483398348093033,0.256116136908531,-0.610757261514664,0.51276046037674,-0.50365455262363,-0.0674052741378546,0.19362710416317,-0.910214185714722,-0.166448207572103,0.246388681232929,-0.9899682700634,-0.0842075012624264,0.443973377346992,0.154768444597721,-0.367448046803474,0.157029986381531,0.141807161271572,-0.801023602485657,-0.790790304541588,-0.809761077165604,-0.261693581938744,0.0315475314855576,-0.0197616331279278,0.382564038038254,-0.879433497786522,0.394990637898445,0.0031176432967186,1.0045619904995,0.121357969939709,1.2605819106102,-0.0984035432338715,0.696339562535286,-0.131904169917107,-0.0523579996079206,0.17088271677494,-0.0669737411662936,0.357145100831985,-0.493364691734314,-0.641925394535065,0.230987902730703
"according",0.0922960340976715,-0.132855176925659,-0.500473646447062,0.376385621726513,-0.243342958390713,-0.40391356498003,0.319120892789215,0.249028295278549,-0.349213514477015,-0.144869294017553,0.308419048786163,0.61699390411377,-0.574925109744072,0.588858395814896,-0.13241259381175,-0.190058894455433,-0.327652096748352,-0.0278361439704895,0.294648943468928,0.132910292595625,-0.765535041689873,-0.391555622220039,-0.545164834707975,-0.0189759284257889,-1.05237457156181,-0.240330338478088,-0.343437433242798,-0.742159888148308,-1.11926048994064,-0.174656577408314,-0.117564350366592,-0.331350646913052,-0.440312415361404,0.155497513711452,0.263462454080582,-1.14926531910896,-0.131947547197342,0.645662318915129,0.226252302527428,-0.655463024973869,0.0116215795278549,0.320040911436081,0.461770087480545,-0.581006288528442,-0.422044157981873,0.0772219300270081,-0.419939815998077,-0.0910492055118084,-0.141623020172119,-0.126938052475452
"non",-0.0926088839769363,0.662515684962273,0.280146036297083,-0.404282577335835,-0.0895011024549603,-0.535646751523018,-0.192415293306112,0.225102767348289,-0.579302176833153,0.168915633112192,0.239819824695587,-0.46949028968811,-0.338068261742592,0.425304003059864,0.0645966678857803,-0.174891263246536,-0.262826558202505,-0.136603623628616,0.562116527464241,0.0154105164110661,-1.07292741537094,-0.185509398579597,0.104083208367229,-0.300046354532242,0.891881227493286,0.597830981016159,0.872439246624708,-0.204705953598022,1.19935828447342,-0.0409197881817818,0.10585555806756,0.11636570468545,-0.545955849811435,-0.218606792390347,0.158335939049721,-1.01366007328033,-0.633714526891708,0.093078157864511,0.606151938438416,-0.611199997365475,-0.864396750926971,0.456832781434059,-0.833726979792118,0.402297601103783,0.634933985769749,-0.768320649862289,0.549686223268509,-0.229982472956181,-0.279231652617455,-0.0857934951782227
"dollar",0.0929097235202789,0.233627408742905,0.439041748642921,-0.127727225422859,0.135642766952515,0.575603966368362,-0.945406198501587,0.642412208020687,-0.793495306745172,-0.230941891670227,-0.0336051881313324,0.0241563320159912,-0.160860374453478,-0.0935660935938358,0.194797456264496,-0.447960302233696,0.325001552700996,0.200906883052085,0.956020563840866,-0.611516281962395,-0.19080062629655,-0.0605364888906479,-0.0361794047057629,-0.147865310311317,0.563026711344719,0.374910861253738,0.403463400900364,-0.887629181146622,0.837518662214279,0.521112153772265,0.370546028017998,-0.281164012849331,-0.132039695978165,0.100418012589216,-0.121564745903015,0.0528464615345001,-0.417703579412773,0.731811717152596,-0.402919419109821,-0.00375577062368393,-0.582192104309797,0.922852637246251,-0.784451618790627,-0.163477577269077,0.656274959445,0.159050181508064,-0.162891305983067,-0.176910579204559,0.346816072240472,0.125516101717949
"control,",0.769302546977997,0.283402532339096,-0.0630296617746353,0.285716414451599,0.035601582378149,-0.665591061115265,-0.874074816703796,0.146929088979959,-0.152972837910056,-0.436610769480467,0.226502280682325,0.10082646459341,-0.726681977510452,0.0985619807615876,-0.18990533053875,-0.544762074947357,-0.530665144324303,-0.585885412991047,0.108535304665565,0.279109992086887,-0.46158517152071,0.0182499731890857,-0.545498088002205,-0.600039331242442,-0.175008103251457,0.217104159295559,0.819196343421936,0.504499763250351,-0.421385250985622,-0.217489377595484,0.123198714572936,-0.378064677119255,-0.166290894150734,-0.23406676761806,-0.330506160855293,-0.588559731841087,0.045097604393959,-0.346443444490433,-0.0461725369095802,-0.124148949980736,-0.0388235193677247,0.470770020037889,-0.0837710201740265,0.408697158098221,0.523067727684975,-0.718976646661758,0.223404593765736,0.0136697590351105,0.750497668981552,-0.314011171460152
"best.",0.0976415402255952,1.2822185754776,0.957612872123718,0.469837047159672,-0.348129730671644,0.860249251127243,0.101050794124603,-0.0529870390892029,-0.291585062164813,0.319897703826427,-0.419635728001595,0.219012394547462,-0.212035834789276,0.9414122402668,0.296146988868713,0.380435347557068,0.0552943199872971,-0.861076682806015,0.386771306395531,0.46603337675333,-0.515779063105583,0.0691020824015141,0.186651476658881,-0.0309863425791264,0.330443397164345,-0.225576654076576,-0.332288239151239,0.191064111888409,-0.831424215110019,-0.428388778120279,-0.0247221291065216,-0.0550648346543312,-0.449455760419369,0.108593532815576,-0.415124788880348,-0.00952053070068359,-0.456553846597672,0.1748484717682,-0.154440656304359,0.0332727134227753,-0.78082486987114,0.286937072873116,0.685300379991531,-0.935362875461578,-0.514437973499298,-0.344557147473097,0.6201186850667,0.100416652858257,-0.506554216146469,-0.240777559578419
"superb",0.519287034869194,0.102910630404949,0.184652060270309,-0.581897404044867,-0.283065788447857,0.219638884067535,-0.332683904096484,0.210782043635845,-0.0404348708689213,-0.357878476381302,0.856997296214104,-0.179003462195396,-1.10483410954475,-0.532665476202965,-0.0729066431522369,0.185944836586714,0.489377319812775,-0.0832127630710602,0.557997390627861,-0.348640836775303,-0.910920977592468,-0.175050973892212,0.0385696273297071,-1.17433911561966,0.406527772545815,-0.00556901097297668,-0.426927924156189,-0.418555583804846,-0.187951717525721,0.0127275176346302,0.0326677560806274,-0.209761530160904,0.374282173812389,-0.234709486365318,-0.265686996281147,-0.34065455943346,0.238579019904137,1.02692839503288,0.214813716709614,0.16900297999382,-0.596601583063602,0.681038171052933,-0.062929093837738,0.523618018254638,0.226133853197098,0.837829485535622,0.354773238301277,-0.63305601477623,-0.490015506744385,0.162797868251801
"auto",0.0284499824047089,0.347025409340858,-0.145878538489342,-0.170275347307324,-0.498295441269875,0.319067932665348,0.351120824925601,-0.313462499529123,-0.592929143924266,0.115497142076492,-0.586691915988922,0.291461140383035,0.157529525458813,-0.0110295042395592,-0.318756893277168,-0.636458188295364,-0.0260367691516876,0.0668802112340927,0.868725895881653,-0.202760510146618,0.194526046514511,0.174745589494705,-0.104174301959574,-0.367562457919121,0.301358431577682,-0.172772236168385,0.0945940911769867,-0.180283635854721,0.151168871670961,0.556977160274982,0.675509840250015,-0.204471856355667,-0.194118332583457,1.25630068778992,-0.88373875617981,-0.118376478552818,0.143916899338365,0.180889747105539,0.195321522653103,-0.121843054890633,-0.900337278842926,0.188402108848095,-0.14640411734581,-0.0884105414152145,0.402549594640732,-0.167375311255455,-0.577477872371674,-0.345000132918358,-0.184081561863422,-0.511382341384888
"lag",0.332697495818138,-0.0159661546349525,-0.866069376468658,0.0682887732982635,0.0730128288269043,0.666390188038349,0.549359828233719,-0.338947718031704,-0.591692857444286,-0.930906146764755,-0.669386342167854,-0.0277972407639027,-0.589267492294312,0.872803777456284,0.0692421048879623,-0.45360707025975,-0.561664946377277,0.449521273374557,-0.653305202722549,0.445110708475113,-1.20338851213455,-0.0924663692712784,0.370221657678485,0.689662054181099,-0.447461754083633,-0.251387476921082,0.768008321523666,0.0781446397304535,-0.501860722899437,-0.0468278378248215,-0.306457731872797,0.523421868681908,-0.436978928744793,-0.0102807059884071,-1.33340883255005,-0.265169262886047,0.0476677231490612,0.423496272414923,-0.323267258703709,0.516661312431097,-0.229196920990944,0.298592805862427,0.212649703025818,0.445125855505466,0.309994667768478,0.121145188808441,0.256078759673983,0.925953090190887,-0.158910781145096,0.765930235385895
